ID,X,Y,datetime,population,X_trans,Y_trans,type
A,699679.806798973,5507267.31271309,2017-01-28T16:01:31Z,1,709679.806798973,5457267.31271309,predator
A,699720.600725241,5507258.82541108,2017-01-28T18:00:55Z,1,709720.600725241,5457258.82541108,predator
A,699601.816523419,5507201.19610566,2017-01-28T20:01:54Z,1,709601.816523419,5457201.19610566,predator
A,699406.868054177,5507379.36082395,2017-01-28T22:01:23Z,1,709406.868054177,5457379.36082395,predator
A,699393.723086039,5507383.0806974,2017-01-29T00:01:23Z,1,709393.723086039,5457383.0806974,predator
A,699505.624134907,5507334.39433986,2017-01-29T02:01:27Z,1,709505.624134907,5457334.39433986,predator
A,699500.19535245,5507361.57126281,2017-01-29T04:00:54Z,1,709500.19535245,5457361.57126281,predator
A,699500.301740379,5507337.90456571,2017-01-29T06:00:53Z,1,709500.301740379,5457337.90456571,predator
A,699147.930176673,5507340.09019238,2017-01-29T08:02:07Z,1,709147.930176673,5457340.09019238,predator
A,698825.831462182,5507437.54341218,2017-01-29T12:00:54Z,1,708825.831462182,5457437.54341218,predator
A,698804.552622219,5507213.64956044,2017-01-29T14:00:53Z,1,708804.552622219,5457213.64956044,predator
A,698792.084108645,5507222.25662091,2017-01-29T16:01:16Z,1,708792.084108645,5457222.25662091,predator
A,698795.285128769,5507230.01378161,2017-01-29T18:00:42Z,1,708795.285128769,5457230.01378161,predator
A,698681.051031683,5507245.16299234,2017-01-29T20:02:41Z,1,708681.051031683,5457245.16299234,predator
A,698526.164401097,5507302.9549905,2017-01-29T22:00:54Z,1,708526.164401097,5457302.9549905,predator
A,698527.825056906,5507268.04936234,2017-01-30T00:00:51Z,1,708527.825056906,5457268.04936234,predator
A,698663.793712921,5507112.31778797,2017-01-30T02:01:12Z,1,708663.793712921,5457112.31778797,predator
A,698552.118400566,5507280.38092963,2017-01-30T04:01:23Z,1,708552.118400566,5457280.38092963,predator
A,698678.796191133,5506963.93855701,2017-01-30T06:01:24Z,1,708678.796191133,5456963.93855701,predator
A,698691.551564955,5506897.48579027,2017-01-30T08:01:24Z,1,708691.551564955,5456897.48579027,predator
A,698661.543300382,5506916.2306102,2017-01-30T10:01:31Z,1,708661.543300382,5456916.2306102,predator
A,698231.99959119,5506896.54609593,2017-01-30T12:01:54Z,1,708231.99959119,5456896.54609593,predator
A,698164.561641066,5506901.32163712,2017-01-30T14:01:55Z,1,708164.561641066,5456901.32163712,predator
A,695889.966774082,5507157.53252741,2017-01-30T16:01:34Z,1,705889.966774082,5457157.53252741,predator
